rank,address,balance,airdrop_amount
1,0x0000000000000000000000000000000000000000000000000000000000000000,460784853.665745236,0
2,0xa4e774fae31ae1aa6d9b2b832e1ee664c4f7284a8ad877c05aa5d64d10f65eda,204208304.012279957,0
3,0xf366fbf65fedff64ee1d197e043b2cf102a303160e798d9003c03ee9935dd460,34706341,27593352.91840299
4,0x800063e8b15bb445ee0daa89f51251a539aedf51883912e4b50f1e87606bf73a,26136309,20779730.08509977
5,0x24d7518321d3f4772beab22bf55395f1c34dfac38e253a421927bf8de6f391a8,19452059,15465402.387897837
6,0xb47e9a1e5e2c40c054cca36307df4361cc6f685df53d76d027b9efda624a2d56,19452059,15465402.387897837
7,0x04afb07e6f860f332797687e7ce639ae7761daeff901179347f1e28df09b9a81,16502263,13120160.57559347
8,0x0b66c588fbc4df8f359b301ae63d5c65dc8185fe2e5690c908474daec0e28a59,14655704,11652049.772105045
9,0x608c3a7221591cb6567cd8283c5997c02e4c72dacca098b7e13c4dd36a5e31a2,13622237.602280016,10830390.034433531
10,0xff1d723878bdfd9fe6f608091f81606e9944c3e1aafab45a24ae5a094bb4a96d,12968039,10310267.993581157
11,0xfab045bfbf37677eef2553f17a38ef44e359ba5f156492d58eb6fa12d19beb6c,10258977.915074487,8156423.00618069
12,0x4cbc09887307673b482ee2fc67b64d56da53d1641200aeb4c22c0a89b2206769,10000000,7950522.04391208
13,0x13f3d171e73f3f22323fbfba24d72f104e6d402168ac2d4d6202065232d22033,10000000,7950522.04391208
14,0x7339afdffc5f13dedb960ceb9e29ff3c72aa3af88a0aa99565ce105dd4315302,9833335,7818014.668267219
15,0x054bb6bda7954d4eeb97cfa741160457a51daff578241545e7691988ac0c8c34,8000000,6360417.635129664
16,0x696daf3664dfb5463e197f10e859ee9594fbbc75f4668d3899ddc5d9cd522cc8,6788469.355360385,5397187.525421437
17,0x743e6c5ea82ac99c3ff6a4934788e1f930341f4f77ff776b93a6d51abe0558e6,6704311,5330277.239474224
18,0x86a52e3d07526e1e5d98095bc3fdb56ab09f6bb0c9c635ffbda3d3b41357ebdc,5437041.856173598,4322732.113118084
19,0xca068994772720e299e3300ab9e77bb71c8fb943d436764fa37136458b2145d6,4932892.819734987,3921907.310355863
20,0x69ecfcf29762247ad9a40f869c2c044eb2ef29b1a12b4d934b455c3613098c0a,4154223,3302824.153682657
21,0x6162b9114322ee6387211422a31f9439e9008e94b740635bea5a990b07fada20,4001148.218950154,3181121.711572275
22,0xe05f4ca121a3ea7c8db627f619d977e5307a8827287c4e5d9dcc414076b0459f,2646823,2104362.46078335
23,0xf06df9ddac32dd053d6586932603b67c47a49671019d5907cb9f97ffa363ca19,1532639,1218528.015485936
24,0xf0ee6d92b9917478c9793b2f8acfe06afc07231efb4b02425d5a4c6574bd524d,1392044.481264764,1106748.033440166
25,0x141c0189f8185480ed70769c8e2d2f20cbfec09c48570aaf1f8c3d1e710126ec,1318080.845586327,1047943.081849236
26,0x0a9d764abd168f34bd27bf945cd3c6bb5baddb5a769ae28f3bde349d99b1d6e3,1144472.848799177,909915.661303671
27,0xbea5a657ce4defae46280e116051b84052110fc5d1aa227fe2364f9e2221c36e,1014718.043696921,806753.817476771
28,0xc7252f0e535802943c334111615c801913d5ccd5784496249ea46b6b3ce8dbf2,999848,794931.35645614
29,0x993dcb0707c3fbf7be87ea01f526a421675808cfdbb2117c66c2138d193ac192,897205.442066072,713325.164506418
30,0x60ff2beb119c20e0fff25d6516ad25a1169ccdd73a1e095e42f297157aea930e,671046,533516.601547902
31,0xfca417851fe1ca908200915b5a1799e5ba2d369413841ebec37fc32e0462f51a,621981,494507.365139447
32,0x829f27d77b28fd08f30556b008f36d63fb7e275635559822e91ac95ca64a09c8,535814.632084725,426000.604384024
33,0xb1c1b41d5d3cbc7e79f75009a7105acaacf893003c387642fb612c95b06d4a03,349272,277689.473532126
34,0xccaa083fc997ae469f661100a4f518032113a34feda4846f662c3b8a09e611dd,263089.150011615,209169.608668143
35,0x3c261d064c8456ae6fb661af7772a786f43e97aa16c9b28d9d107746c2cf74e9,166653.875385248,132498.530995379
36,0xf1a2d80816a019f29f9db6d6d694c6a0da359154eea43c3e7b6c1a9e6523b4e5,125063.088986175,99431.684586432
37,0x0ae1bd5c696f308a7834c564e60c2bd6e3cfa138795aacfebd6ea3096c23d087,79603.523142685,63288.956551898
38,0x286698c7baad759c31086b785030af20d3a855ce8a5ff6a4afd21cf2955bda8d,76010.458342846,60432.282462265
39,0x0ee10d53ac744f818e9cad4451e0c140a9f0c3ca88196e77c6122939798f2304,43831,34847.933170671
40,0x9f63425709069336fec108bd4ba69a8f3d23e8ab237311f3ce58ae2bb0ed4d7f,35010.364603455,27835.067554516
41,0xe7110a5e98f3ff4281da84d5e73d33a480c3242750fa16e373f674793ad1affb,20003.273265028,15903.6465044
42,0xdaf1c8ed29d89cd8f217f609bad0a668fa6f158c12000bfa5f93e670c99e24ff,5009.510238333,3982.822157906
43,0x258332c5967d288b745e8e397185fd3443de96b183d1ab00855462c293faf80c,3429.457344736,2726.597621797
44,0x4598648c5dc4681a78618b37ae11134bfe5d2839f6bbe20a31e8bb9eb054382e,2437.5,1937.939748203
45,0xa8cc27e4cdca115e4be2e3bef979a1a22d1ec1ce832e87dad2ef3b48aba525d2,2124.764161311,1689.298430261
46,0x5d0cae89aa45c00be8734da49c810d5b41e95a6e790b3ce6976c283fcbb0297e,1154.027356947,917.511994068
47,0x1fb0c0a6790860fc83c8f26f6fa089868ad94de9468348f98dfb4cdf89a53777,1008.031253876,801.437470489
48,0xb117c4a1127d73cb53a525565763912c859164a135678f04f3b18e62a9e24375,1000.014971349,795.064107395
49,0x9ec0d2f0bef1fd7bf28ba79f2fb59b774fa37d5a2a2db50a9ec51bbd98186a56,418.620542063,332.82518477
50,0x33a6dcc43399a6ee9d0540059854a0842283a75d92178e6d5076125d1763bd40,317.429678222,252.373165409
51,0x2ea9eefaf7363a1f7ac3effa7ac6dff1132aea9a85c31b821afec5ecd9ebeae9,159.182674353,126.558536145
52,0xcd01d051cfd194694c043faeba1ec4825d3091465573376f7c995ce8fa990a32,62.471250857,49.667905704
53,0xb4f36ccb4d8fe6d0f8a9aa7681d79ac2e9515f1cbdc7003b4843f025b1bde4e6,50.731085732,40.333861542
54,0x2409ea02b7a6247f31ac95130b1c6721f6698ca67922e9471944660ebf89e4dc,15.869875514,12.61737951
55,0x9d3032161091172dbdcb7b407d34ecf8e0964637f22946d9257d860c309ceb28,0,0
56,0x0d198266b3b5549cb67aaccdebc13367b4f2077d3e8775be3c29054b399ced43,0,0
57,0x299cb7f44fe2057fac198c8e061892a3280c5801bd63ecb1034e02157d755391,0,0
58,0x8a1de1815d93b211d9118502b63d22b2556a66ddb901a5a2b6a48873da62cd2f,0,0
59,0xb5d18cd3ec30e6054d7231374e17fe2e88bf222382f99ab86a7828a66e80c3aa,0,0
60,0x7b3e20bf2a05986bee815721e865e0a3542ea120461e640cf0a90abb15812dd4,0,0
61,0xb029014470827232aeb89f3cc0eaf53e402113798390dadc933280599a2dd48b,0,0
62,0xc34c3d62add8ff6c05dfa5b231abe6b936c48e7c0f3617345d7b11f4d94e8b2d,0,0
63,0xc29ce4b72510bb3795f0163ea7c96f3a3ee03f84407367cf455f7524ef506e2d,0,0
64,0x2bab8fb1ee6741f396d3551b48ae97fb03315727e170670adc285a0fbc5162a6,0,0
65,0xb8149f72ae366f4fb7950ffe2029a26a6232f44af0bfb0cf15ad0a8f04678ad7,0,0
66,0x0e7e45012b35a48b7e18874634191d609735beb611df0084a43cad38a50022fb,0,0
67,0x429104d1a6887010e3ae97e33c79beb8a0815cfddfd11de9e9fba0209199e8c7,0,0
68,0x1d8d4e08f80a1131dfcbf10c811329390c65224d1e13d3cb1f707ad0d6c71157,0,0
69,0xe55178e0dff1034a9bfd6a6af501af67bd45c575b15c659484e50e134b69224d,0,0
70,0x25725dfa024a44dcbf8ecb0ff1f8f972dd1bf0c81c1e2b544f680204d8272c56,0,0
71,0x87836e5f6167baaf898f46d6b160c193e8a8496138e95a5f65eef2ae814793ad,0,0
72,0x02e30c340d3b64aa3df3f095f569e33fb281774dcf90bd6f4f6ad69a7599f311,0,0
73,0x7db427f533abf251c61d43cfdd6e36b456823cdad30ccbf27bc1a2e7d24b64aa,0,0
74,0xfc87b3c1c2e9f2ee796df28675e7eb777e76cf4e06b9fc72a8a31d5c6c379b30,0,0
75,0x5ef4b5419f49e18dc65d84f4213980ccc4bd4b3753d030b7f09c2da42117642c,0,0
76,0x0d92c669c8c0cfab21c424a9b713a18b05bf421b85f1b57824685a2df7e54156,0,0
77,0x780ee7bbd89716301e4d200119b714d6023aef81ef6ab47e837e3f85bdbc092c,0,0
78,0xd80f514db35a821e54ec709dae93733c926f937f02108f0200e5e4d7183e26d6,0,0
79,0x6cc7b8c45cfca22d40dd69c96c2b550742be881fa18ae1450770a1b1a7b14156,0,0
80,0x60bdb9014d597728167007552bd3842d79d86609ae42505e1ec6ad16817d95fc,0,0
81,0x7687b4f9b3925116f8dbec606cb71503ab9660ae7de5c85c2bc70656e4817b20,0,0
82,0x3360be33ed15673a1d79be29904aff2d59eecd70538b7f72989d8b8f733b4962,0,0
83,0xf8cc1a06141d0f11483ab16dd12582d8ddc36b1b10749bb176926efb87bf1d1b,0,0
84,0x9e9c6f52b40078cf77f515ba1ab63cc38721319a3132c64210ac237aca45519c,0,0
